Book-ID,Book-Title,Book-Author,Year-Of-Publication,Publisher,Book-Price
41,Miss Zukas and the Raven's Dance,Jo Dereske,1996,Avon,190
42,Pride and Prejudice,Jane Austen,1983,Bantam,970
43,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside,430
44,Downtown,Anne Rivers Siddons,1995,HarperTorch,820
45,Icebound,Dean R. Koontz,2000,Bantam Books,640
46,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,210
47,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,580
48,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,560
49,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,840
50,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,390
51,Proxies,Laura J. Mixon,1999,Tor Books,680
52,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,300
53,The Street Lawyer,JOHN GRISHAM,1999,Dell,550
54,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,HarperCollins Publishers,260
55,All the King's Men,Robert Penn Warren,1982,Harvest Books,660
56,Pacific Northwest,Hans Johannes Hoefer,1985,Chambers Harrap Publishers Ltd,150
57,A Soldier of the Great War,Mark Helprin,1992,Avon Books,380
58,Getting Well Again,O. Carol Simonton Md,1992,Bantam,430
59,Northwest Wines and Wineries,Chuck Hill,1993,Speed Graphics,870
60,An Atmosphere of Eternity: Stories of India,David Iglehart,2002,Sunflower Press,850
61,LONESOME DOVE,Larry McMurtry,1986,Pocket,830
62,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf,240
63,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf,680
64,Lieux dits,Michel Tournier,2002,Gallimard,900
65,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books,740
66,The yawning heights,Aleksandr Zinoviev,1980,Random House,420
67,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,80
68,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),110
69,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,NTC/Contemporary Publishing Company,400
70,The Angel Is Near,Deepak Chopra,2000,St. Martin's Press,900
71,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,730
72,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003,1stBooks Library,50
73,The Accidental Virgin,Valerie Frankel,2003,Avon Trade,120
74,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,720
75,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,870
76,The Prince,Niccolo Machiavelli,1952,Signet Book,830
77,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,970
78,Starship Troopers,Robert A. Heinlein,1987,Ace Books,140
79,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf,290
80,Black Beauty (Illustrated Classics),Anna Sewell,1995,Landoll,60
81,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf,470
82,Prescription for Terror,Sandra Levy Ceren,1999,Andrew Scott Publishers,630
83,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990,Atlantic Monthly Press,550
84,Turning Thirty,Mike Gayle,2000,Hodder &amp; Stoughton General Division,160
85,Decipher,Stel Pavlou,2002,Simon &amp; Schuster (Trade Division),550
86,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,1999,Perennial,430
87,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994,Harpercollins,440
88,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,McGraw-Hill,110
89,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,2003,Random House,690
90,Daybreakers Louis Lamour Collection,Louis Lamour,1981,Bantam Doubleday Dell,200
91,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",980
92,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro,110
93,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,Minotauro,260
94,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001,Distribooks,370
95,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,570
96,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,120
97,Fast Women,Jennifer Crusie,2001,St. Martin's Press,550
98,Female Intelligence,Jane Heller,2001,St. Martin's Press,500
99,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books,640
100,The Gospel of Judas: A Novel,Simon Mawer,2002,Back Bay Books,750
